statement,source,veracity,date
"""We have less Americans working now than in the ’70s.""",Vicky Hartzler,0,2016-03-25
"Says Barack Obama was happily photographed holding a T-shirt with revolutionary Ernesto ""Che"" Guevara’s face on it.",Sid Miller,0,2016-03-25
"Says her representation of an ex-boyfriend ""who was then my friend"" in a family law case is ""something that lawyers do on a regular basis.""",Rebecca Bradley,0,2016-03-25
"Congress will begin its recess ""without having allocated one penny"" to fight Zika.",Hillary Clinton,1,2016-03-25
"""Virginia now is the number one exporter of (agricultural) products to Cuba. We have now jumped to number one.""",Terry McAuliffe,1,2016-03-24
"""Bernie Sanders passed more roll call amendments in a Republican Congress than any other member.""",Bernie Sanders,1,2016-03-24
"""80 percent of the American people haven’t gotten a pay raise since the crash.""",Bill Clinton,1,2016-03-24
"""To this day, (the Cuban government) is a regime that provides safe harbor to terrorists and fugitives.""",Paul Ryan,1,2016-03-24
"""Out of 67 counties (in Florida), I won 66, which is unprecedented. It's never happened before.""",Donald Trump,0,2016-03-24
"(Since 1990) ""every continent has seen substantial gains, with individual incomes growing by more than a third in every region of the developing world.""",Gayle Smith,1,2016-03-24
"""When those restrictions expire (in the Iran nuclear deal), Iran will have an industrial-size military nuclear capability ready to go.""",Donald Trump,0,2016-03-24
"""Today, the United States has, sadly, one of the lowest voter turnouts of any major country on earth.""",Bernie Sanders,1,2016-03-23
"""Over the last 30 years, extreme poverty has been cut in half.""",Gayle Smith,1,2016-03-23
"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia.""",Ted Cruz,0,2016-03-23
"""Texas has a higher incarceration rate than Russia or Iran.""",Gina Hinojosa,1,2016-03-23
"Says Judge JoAnne Kloppenburg agreed to use a technicality to give a convicted sex offender a new hearing because ""he didn’t understand the charge.""",Wisconsin Alliance for Reform,0,2016-03-23
"Superdelegates ""have never been a determining factor in who our nominee is since they've been in place since 1984.""",Debbie Wasserman Schultz,1,2016-03-22
"Nevada Republicans ""didn’t do one single thing to cut spending"" in 2015.",Danny Tarkanian,0,2016-03-22
Says there are no political prisoners in Cuba.,Raúl Castro,0,2016-03-22
"Says Senate Republicans are ""following a longstanding tradition of not filling vacancies on the Supreme Court in the middle of a presidential election year.""",Mitch McConnell,0,2016-03-22
"""More people were killed by terrorists in 2015 than in any other year ever, after an 80 percent increase from 2014.""",Joe Pitts,1,2016-03-22
Ted Cruz is in negotiations to be Donald Trump’s running mate.,Facebook posts,0,2016-03-22
"""70 percent of Americans believe that we are on the wrong path.""",Paul Ryan,1,2016-03-22
"""We have ten different tax brackets and if you’re making $9,000, you’re already in the top tax bracket.""",Eric  Greitens,0,2016-03-22
"""According to the Centers for Disease Control and Prevention (CDC), about 120 Americans on average die from a drug overdose every day. Overall, drug overdose deaths now outnumber deaths from firearms.""",Joe Pitts,1,2016-03-21
"""North Carolina spends $855 less per student than it did before the Great Recession, and we have one of the lowest per pupil spending levels in the nation.""",Roy Cooper,1,2016-03-21
"Says Donald Trump promised ""to take care of everybody (through government-run healthcare and) the government's going to pay for it.""",Club for Growth,0,2016-03-21
"""Our campaign depends on small donations for the majority of our support.""",Hillary Clinton,0,2016-03-21
"The Trump Winery near Charlottesville, Va. is the ""largest winery on the East Coast.""",Donald Trump,0,2016-03-21
"In the primary election, a ""right-wing group spent more than $100,000,000 to support"" Supreme Court Justice Rebecca Bradley.",JoAnne Kloppenburg,0,2016-03-21
"Senate Democrats ""have never held up a Supreme Court nomination.""",Harry Reid,1,2016-03-20
"Says Donald ""Trump got, you know, $1.8 billion worth of free media. I got, like, none.""",John Kasich,1,2016-03-20
"""We do not have an overcrowding problem. As a matter of fact, Rhode Island has one of the lowest incarceration rates in the country.""",Richard  Ferruccio,1,2016-03-20
"""Every (U.S. Supreme Court) nominee since 1875 has received a nomination hearing.""",Mark Herring,0,2016-03-20
"""Given the results of the primary, the vote of one New Hampshire superdelegate is equal to the votes of about 10,000 grassroots activists.""",New Hampshire Republican Party,1,2016-03-18
"Says Supreme Court nominee Merrick Garland ""voted, so the folks know, in Washington, D.C., to keep guns away from private citizens.""",Bill O'Reilly,0,2016-03-18
"""The right-wing extremists are trying to take this seat so they can push their anti-choice and anti-equality agenda through our State House.""",Brian Sims,0,2016-03-18
"The Mitchell Park Domes ""lose about $1 million-plus every year"" and ""the number of people going to the Domes has been going down.""",Chris Abele,0,2016-03-18
"""Here in Pennsylvania, the annual cost for infant childcare is over $10,000 per child, which is more than most families pay in rent and almost the same cost as in-state college tuition.""",Katie McGinty,1,2016-03-18
"""Six justices"" on the U.S. Supreme Court have been ""confirmed in presidential election years since 1912.""",Mike Honda,1,2016-03-17
"""Arizona schools rank 45th in the nation, dead last in funding per student.""",Hillary Clinton,1,2016-03-17
"""We were able to provide $428 million worth of property tax relief.""",Don Gaetz,1,2016-03-17
"Under the Iran nuclear deal, ""we give them $150 billion, we get nothing.""",Donald Trump,0,2016-03-17
"Illegal ""immigration is lower than it’s been in 40 years.""",Barack Obama,1,2016-03-17
"""You know what Truman said, ‘You want a friend in Washington, buy a dog.’ """,John Kasich,0,2016-03-17
"""The fact is voter fraud is rampant.""",Greg Abbott,0,2016-03-17
"""Six justices"" on the U.S. Supreme Court have been ""confirmed in presidential election years since 1912.""",Gwen Moore,1,2016-03-17
"California ""cut about $1.3 billion in child care (during the recession). We’ve only reinvested about $300 million.""",Anthony Rendon,1,2016-03-17
"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, ""dragging the American flag on the ground like it was a piece of garbage.""",Donald Trump,1,2016-03-17
"""The [Obama] administration’s regulatory assault on coal-fired energy has put thousands of Americans out of work""",Roy Blunt,0,2016-03-16
"Says President Barack Obama has ""been presiding over our jobs going overseas for seven years.""",Ted Cruz,0,2016-03-16
"Says Donald Trump and Marco Rubio opposed Cruz’s ""efforts to defund Planned Parenthood.""",Ted Cruz,0,2016-03-16
"""Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.""",Hillary Clinton,1,2016-03-15
"The U.S. ""doesn’t make television sets anymore.""",Donald Trump,1,2016-03-14
"Susie Lee and her husband ""own 17 homes across the country and use their private jet to take vacations,"" and invest in ""companies like Walmart, Halliburton and GEO Group.""",Culinary Workers Union,1,2016-03-14
"Says Hillary Clinton told the Des Moines Register on Aug. 8, 2015: ""I will get the NRA shut down for good if I become president. If we can ban handguns, we will do it.""",Viral image,0,2016-03-14
"""One would have to go back more than a century to find a scenario where a president’s nominee for the Supreme Court was confirmed by the opposition party in the Senate when the vacancy occurred during an election year.""",Jeff Flake,1,2016-03-14
"""We understand that this heroin is primarily coming from Mexico, over the border.""",Rob Portman,1,2016-03-14
"""Seventy percent of Missourians support voter photo ID legislation.""",Caleb Rowden,1,2016-03-14
"""The Walton family of Walmart ... This one family owns more wealth than the bottom 40 percent of the American people.""",Bernie Sanders,1,2016-03-14
"Says the man who rushed the stage at him in Dayton, Ohio, ""had chatter about ISIS, or with ISIS"" in his social media posts.",Donald Trump,0,2016-03-13
"""More than once, I've actually had a conversation with the protesters on substance.""",Ted Cruz,1,2016-03-13
"""Americans haven’t had a raise in 15 years.""",Hillary Clinton,1,2016-03-11
"Says Ted Cruz’s wife Heidi ""will be the very first pro-life first lady.""",James Dobson,1,2016-03-11
"Foreign aid ""is less than 1 percent of our federal budget.""",Marco Rubio,1,2016-03-11
"""GDP was zero essentially for the last two quarters.""",Donald Trump,0,2016-03-11
"""I opposed TPP (Trans-Pacific Partnership) and have always opposed TPP.""",Ted Cruz,1,2016-03-10
"Common Core is ""education through Washington D.C.""",Donald Trump,0,2016-03-10
"""As a legislator, (Marco Rubio) flipped on a key vote after making a quick $200,000 from selling the house to the mother of the bill's lobbyist.""",Donald Trump,0,2016-03-10
"In 2006, Bernie Sanders ""voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants.""",Hillary Clinton,1,2016-03-10
"""Now we have ISIS coming over the (U.S.-Mexico) border.""",Jeff DeWit,0,2016-03-10
"""When the City and the Fairmount Park Conservancy invested $5 million in Hunting Park, crime went down 89 percent within a half mile radius of the park over the next three years.""",Jim Kenney,1,2016-03-10
"""The Clean Power Plan is something that Sen. Sanders has said he would delay implementing.""",Hillary Clinton,0,2016-03-10
"""If you look at Latino kids between 17 and 20 who graduated high school, 36 percent of them are unemployed or underemployed. … African-American kids are unemployed or underemployed to the tune of 51 percent.""",Bernie Sanders,1,2016-03-10
"When Honduran children came into this country, ""Secretary Clinton said send them back.""",Bernie Sanders,1,2016-03-09
"When New York Gov. Eliot Spitzer wanted to ""provide driver’s licenses to those who are undocumented. (Hillary Clinton) said don’t do it.""",Bernie Sanders,1,2016-03-09
"Regarding her State Department email practices, ""my predecessors did the same thing.""",Hillary Clinton,0,2016-03-09
"""As governor, Kasich delivered the largest tax cut in the nation.""",John Kasich,0,2016-03-09
"""Trump refuses to denounce the KKK.""",Conservative Solutions PAC,0,2016-03-09
Says Donald Trump said the government is going to pay for everybody to have health care.,Keep the Promise 1 PAC,0,2016-03-09
"""Over 32,000 people die from #GunViolence every year. Yet, (The U.S. Centers for Disease Control and Prevention) is banned from researching ways to prevent this.""",Tammy Baldwin,1,2016-03-09
"Donald Trump has ""described Hillary Clinton as one of the best secretaries of state in history.""",Ted Cruz,0,2016-03-08
"When John Kasich became governor of Ohio, ""there was an $8 billion budget deficit and now there’s a $2 billion surplus.""",Arnold Schwarzenegger,1,2016-03-08
"""Almost every poll has shown that Sanders vs. Trump does a lot better than Clinton vs. Trump … and, that’s true nationally.""",Bernie Sanders,1,2016-03-08
"Says Donald Trump ""bans disabled veterans from his high rise.""",Conservative Solutions PAC,0,2016-03-08
"Like Marco Rubio, Sen. Barack Obama had ""one of the worst attendance records in the Senate.""",Right to Rise,1,2016-03-08
"Says Michael Bennet wants to close Guantanamo Bay prison and bring terrorists ""right here to Colorado.""",Jon  Keyser,0,2016-03-08
"""(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.""",Bernie Sanders,1,2016-03-07
"""When you're white ... you don't know what it's like to be poor.""",Bernie Sanders,0,2016-03-07
"""NAFTA, supported by the Secretary (Clinton), cost us 800,000 jobs nationwide.""",Bernie Sanders,0,2016-03-07
"""We have a higher rate of tested lead in people in Cleveland than in Flint.""",Hillary Clinton,1,2016-03-07
"""President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.""",Hillary Clinton,1,2016-03-07
"""A single mother of two can’t qualify for basic healthcare through Medicaid if she makes more than $3,504 dollars a year.""",Chris Koster,1,2016-03-06
"""There’s no correlation between primary turnout and wins in the fall in the last 11 elections.""",David Brooks,1,2016-03-06
"""Statistics show 2 to 3 Texas women per week have major complications and 10 women per week seek help at an ER after an abortion.""",Ken Paxton,0,2016-03-04
"""There is a precedent"" for not nominating someone to the U.S. Supreme Court ""in the middle of a presidential election.""",Paul Ryan,0,2016-03-04
"Says he ""tore down hundreds of abandoned homes that served as havens for crime and reduce(d) the value of our neighborhoods.""",Tim McGinty,1,2016-03-04
"U.S. global AIDS spending helped reduce ""political instability and violence"" by ""40 percent"" in recipient nations.",Tom  Daschle,0,2016-03-04
"The wives of the 9/11 hijackers ""knew exactly what was happening"" and went back to Saudi Arabia two days before the attacks to watch their husbands on television flying the planes.",Donald Trump,0,2016-03-03
"Marco Rubio ""has the No. 1 absentee record in the United States"" Senate.",Donald Trump,1,2016-03-03
"In head-to-head polls for the general election, ""I beat Hillary Clinton by more than anybody, by 11 points.""",John Kasich,1,2016-03-03
"""Spending on welfare, on prisons, and education, all of those have dropped by hundreds of millions of dollars"" because of Arizona’s immigration laws that drove out undocumented immigrants.",Ted Cruz,0,2016-03-03
"Says Mahatma Gandhi once said, ""First they ignore you, then they laugh at you, then they fight you, then you win.""",Donald Trump,0,2016-03-03
"""Every Republican Senate candidate has now announced whether or not they support the Senate taking up the Supreme Court vacancy…except for Congressman Heck.""",Nevada State Democratic Party,0,2016-03-03
"""I don't know anything about David Duke.""",Donald Trump,0,2016-03-02
"""Since (welfare reform) was signed into law, the number of families living in extreme poverty has more than doubled.""",Bernie Sanders,1,2016-03-02
"Says ""Harry Reid, when asked about the Republican field, said the Republican he likes the best is Donald Trump, and he said, because I can work with him. He'll cut deals.""",Ted Cruz,0,2016-03-02
"""There have been multiple media reports about (Donald Trump's) business dealings with the mob, with the mafia.""",Ted Cruz,1,2016-03-02
"Says Milwaukee County Executive Chris Abele is a ""billionaire.""",Marina Dimitrijevic,0,2016-03-02
"""There is not a single candidate in the Republican primary that thinks we should do anything about climate change.""",Barack Obama,1,2016-03-01
"Says ""the New York Times can write a story that they know is false"" yet ""they can't basically be sued.""",Donald Trump,0,2016-03-01
"""Texas is home to millions of Latinas, but the state has never elected a Latina to Congress.""",Stephanie Schriock,1,2016-02-29
"The Every Student Succeeds Act ""did away basically with Common Core.""",John McCain,0,2016-02-29
"""We work longer hours than any people in the industrialized world, including the Japanese.""",Bernie Sanders,0,2016-02-29
"""We (Trump University) have an ‘A’ from the Better Business Bureau.""",Donald Trump,0,2016-02-28
"""Building a wall"" on the U.S.-Mexico border ""will take literally years.""",Rick Perry,1,2016-02-27
"Says Travis County Commissioner Gerald Daugherty ""claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent.""",Jason Nassour,0,2016-02-26
"""When Republican extremists tried to take away abortion rights … Blake Rocap stopped them.""",Blake Rocap,0,2016-02-26
"""There isn’t a single (Texas) legislator under the age of 30, even though millennials make up 25 percent of the electorate in Texas.""",Huey Rey Fischer,1,2016-02-26
"""It's been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.""",Cory Gardner,0,2016-02-26
"""You are three times more likely to be able to get a mortgage if you're a white applicant than if you're black or Hispanic, even if you have the same credentials.""",Hillary Clinton,0,2016-02-26
"""African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.""",Hillary Clinton,1,2016-02-26
"""Our community (Tampa Bay) is one of the 10 most threatened by the sea level rise in the world.""",Sierra Club,1,2016-02-26
"When Mitt Romney chose Paul Ryan as his vice-presidential running mate, ""that was the end"" of Romney’s chances to win.",Donald Trump,0,2016-02-26
"Says ""Barack Obama is apparently not for vetting people and saying just anybody can come"" to the United States.",Glenn Grothman,0,2016-02-26
"""A couple of debates ago, (Donald Trump) said if you don’t support socialized health care, you’re heartless.""",Ted Cruz,0,2016-02-25
"""When they passed Obamacare, they put a bailout fund in Obamacare. … We led the effort and wiped out that bailout fund.""",Marco Rubio,0,2016-02-25
"Says Ted Cruz ""said I was in favor in Libya. I never discussed that subject.""",Donald Trump,0,2016-02-25
"""If it weren’t for me … (illegal immigration) wouldn’t even be a big subject.""",Donald Trump,0,2016-02-25
"""Malawi has just 300 doctors for 16 million people.""",ActionAid UK,1,2016-02-25
"Says Milwaukee County Executive Chris Abele spent ""$100,000 of taxpayer money on a new luxury SUV.""",Wisconsin Working Families Party,0,2016-02-24
"Says that in the Philippines more than a century ago, Gen. John Pershing ""took 50 bullets, and he dipped them in pigs’ blood,"" and shot 49 Muslim rebels. ""The 50th person, he said, ‘You go back to your people, and you tell them what happened.’ And for 25 years, there wasn’t a problem.""",Donald Trump,0,2016-02-23
"Says Donald Trump ""wants to keep big government in charge"" of federally-owned land.",Ted Cruz,1,2016-02-23
"Says he cured Charlie Sheen and the island of Comoros of HIV with ""milk from goats, which had arthritis.""",Samir Chachoua,0,2016-02-23
"""So far in 2015, there have been more mass shootings than days.""",Gavin Newsom,0,2016-02-23
"""The people that perpetrated that travesty in San Bernardino had never been to the Middle East.""",Bill Clinton,0,2016-02-22
"""There is great disparity, tremendous disparity, in the (capital) funding on a per-student basis between our traditional public schools and our charter public schools.""",Janet Adkins,1,2016-02-22
"""Drug overdoses are now the second-most common cause of death in New Hampshire.""",Maggie Hassan,0,2016-02-22
"""Mr. Trump is self-financing his campaign, so we don’t have any donors.""",Corey Lewandowski,0,2016-02-22
"""Why are Muslim armies so useless against ISIS? ... There are 20,000 or 30,000 (ISIS fighters). The countries surrounding ISIS have armies totaling 5 million people.""",Bill Maher,1,2016-02-22
"With Obamacare, ""You have no options .. you can't get competitive bidding.""",Donald Trump,0,2016-02-21
"""About 70 percent of Republicans nationwide ... don't think Donald Trump is the right guy"" to take on Hillary Clinton in November.",Ted Cruz,1,2016-02-21
"Says Missouri families’ ""earning power is about $5,000 less today than it was at the turn of the century.""",Todd Richardson,1,2016-02-19
"Blocking a U.S. Supreme Court nomination during the remaining months of President Obama’s term ""would leave the nation’s highest court with an unprecedented year-long vacancy.""",New Hampshire Democratic Party,0,2016-02-19
"The Arizona State Board of Education’s ""failure to report teachers whose certifications have been revoked or suspended ... resulted in the death of a student.""",Diane  Douglas,1,2016-02-19
"In Sauk City, Wisconsin, ""the ID office"" that provides identification for voting ""is only open on the fifth Wednesday of every month"" -- a total of four days in 2016.",John Oliver,1,2016-02-19
"""In New Hampshire, I spent $3 million. Jeb Bush spent $44 million. He came in five, and I came in number one.""",Donald Trump,1,2016-02-18
"""There's never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days.""",Richard Blumenthal,1,2016-02-18
"""Barack Obama will somehow manage to add more than $8 trillion to the national debt, which is more debt than the 43 presidents who held office before him compiled together.""",Jeb Bush,1,2016-02-18
"In 2005 and 2007, "" Joe Straus received a 100 percent rating by NARAL (the National Abortion and Reproductive Rights Action League).""",Empower Texans,0,2016-02-18
"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",Hillary Clinton,1,2016-02-18
"""People have actually broken down the transcripts for oral arguments and (Antonin Scalia) told more jokes and got more laughs than any of the other justices.""",Stephen Colbert,1,2016-02-17
"""We are almost halfway to our goal of 1,000 rapes prosecuted!""",Tim McGinty,1,2016-02-17
"Nevada is ""still a state that is 80 percent white voters.""",Brian Fallon,0,2016-02-17
"""The richest 80 people in the world own more wealth than the bottom half of the global population.""",Bernie Sanders,1,2016-02-17
"Travis County residents ""trusted me to take on Tom DeLay — and we won.""",Gary Cobb,0,2016-02-17
"Says Hillary Clinton won ""health care for 8 million children.""",Hillary Clinton,1,2016-02-17
"Says Donald ""Trump supported impeachment of President (George W.) Bush.""",Our Principles PAC,1,2016-02-16
"Says ""the one person (Donald Trump) has suggested that would make a good justice is his sister, who is a court of appeals judge appointed by Bill Clinton. She is a hardcore pro-abortion liberal judge.""",Ted Cruz,0,2016-02-16
"North Korea’s missiles are ""not going to have a capability to reach the United States anytime real soon.""",John McCain,1,2016-02-16
"""The most likely triggering cause of (microcephaly)"" is the ""DTaP shot, a vaccine that had been recently mandated by the Brazilian government to be injected into pregnant women.""",Centre for Research on Globalization,0,2016-02-16
"""When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine.""",John Kasich,1,2016-02-15
"Since January 2015, the ""majority of our"" Austin City Council ""meetings have extended past 10 p.m."" and ""many of our meetings have gone past midnight.""",Sheri Gallo,0,2016-02-15
"""Under Virginia law, if you are a non-federally licensed (gun) dealer, you cannot get a background check even if you want one.""",Terry McAuliffe,0,2016-02-15
"""There comes a point in the last year of the president, especially in their second term, where you stop nominating"" both Supreme Court justices and Court of Appeals judges.",Marco Rubio,0,2016-02-14
"Says state Supreme Court candidate Joe Donald twice ""supported"" incumbent Justice Rebecca Bradley.",JoAnne Kloppenburg,1,2016-02-14
"Says Jeb Bush ""said he would take his pants off and moon everybody ... Nobody reports that.""",Donald Trump,0,2016-02-14
"""It has been over 80 years since a lame-duck president appointed a Supreme Court justice.""",Marco Rubio,0,2016-02-14
"Says ""Joseph Stalin said if you want to bring America down you, have to undermine three things: our spiritual life, our patriotism and our morality.""",Ben Carson,0,2016-02-14
"""In New England, Rhode Island has the second highest number of police officers being assaulted.""",Tony Capezza,0,2016-02-14
"On the Iraq war, ""I said it loud and clear, 'You'll destabilize the Middle East.' """,Donald Trump,0,2016-02-13
"Quotes Mark Cuban as saying, ""I worry that millions of millennials are voting Democrat this year because they fact-check everything.""",Viral image,0,2016-02-12
"""On average it takes 300 Americans working for a solid year to make as much money as one top CEO.""",Hillary Clinton,1,2016-02-12
"""Kasich’s budget raised taxes by billions, hitting businesses hard and the middle class even harder.""",American Future Fund,0,2016-02-12
"Scott Fisher ""tried to expand Obamacare in Texas and even voted for an official resolution to force 1 million Texans into Obamacare.""",Jonathan Stickland,0,2016-02-12
"If the General Assembly does not address the state's structural deficit, ""more than 23,000 education professionals will be immediately yanked out of Pennsylvania schools.""",Tom  Wolf,0,2016-02-12
"""The African-American community lost half of their wealth as a result of the Wall Street collapse.""",Bernie Sanders,1,2016-02-11
"""Americans haven’t had a raise in 15 years.""",Hillary Clinton,1,2016-02-11
"""In America, we pay, by far, the highest prices in the world for prescription drugs.""",Bernie Sanders,1,2016-02-11
"""Don't believe those phony numbers when you hear 4.9 and 5 percent unemployment. The number's probably 28, 29, as high as 35. In fact, I even heard recently 42 percent.""",Donald Trump,0,2016-02-11
"The Seminole gambling compact offers ""$3 billion in guaranteed revenue, the largest share for any state in history.""",Seminole Tribe of Florida,1,2016-02-11
"""Obama spent $7 billion to bring electricity to Africa, failed miserably.""",Daniel Greenfield,0,2016-02-11
"""We bailed out"" Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.""",Hillary Clinton,1,2016-02-11
"""My two appointments to the Florida Supreme Court, Raul Cantero and Kenneth Bell, have earned reputations as its most consistent conservatives.""",Jeb Bush,1,2016-02-10
"""While states used to have regulatory power over fishing, federal law now regulates down to the tenth of the inch the minimum size of fish that anglers can keep.""",Greg Abbott,0,2016-02-10
"Says Hillary Clinton ""believes that all abortions should be legal, even on the due date of that unborn child.""",Marco Rubio,0,2016-02-10
"""Not one Republican has the guts to recognize that climate change is real.""",Bernie Sanders,0,2016-02-09
"""We’re spending tremendous amounts of money to educate our kids. In the world, we're No. 1 per pupil by a factor of four.""",Donald Trump,0,2016-02-09
Says President John F. Kennedy released a star Green Bay Packer from military reserve duty so that he could play in the 1961 NFL Championship Game.,A.J. Jacobs,1,2016-02-09
"""Making public colleges and universities tuition-free, that exists in countries all over the world, used to exist in the United States.""",Bernie Sanders,1,2016-02-09
"""Bioweapon! Zika virus is being spread by GMO mosquitos (sic)""",Viral image,0,2016-02-09
"""People think AIDS is done -- it’s not done.""",Bono,1,2016-02-09
"Says Milwaukee County Executive Chris Abele ""once proposed a plan to end county funding to homeless shelters.""",Chris Larson,0,2016-02-09
"Says she ""is 6th in hard dollars raised and has more cash on hand than Governors (John) Kasich and (Chris) Christie combined.""",Carly Fiorina,1,2016-02-08
"Says Ruben Kihuen ""only managed in the minority to get one bill passed out of the eight to 10 he introduced"" during the 2015 legislative session.",Lucy Flores,1,2016-02-08
"Says ""some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.""",John O'Bannon,0,2016-02-08
"Says Pat Toomey visited Joe Sestak and other veterans in 2002 ""and then came home and voted against every veterans appropriations bill.""",Joe  Sestak,0,2016-02-08
"Ohio’s credit rating is ""as high as you can get, AA+.""",John Kasich,0,2016-02-08
"In Virginia, ""people are going and getting marriage licenses who are 12 and 13, and 14 and 15 years old.""",Jill Vogel,1,2016-02-08
"""Ted Cruz defended a Chinese company that stole an invention from an American inventor.""",Marco Rubio,1,2016-02-07
"""Tell me what Madeleine Albright’s position was on the War on Iraq. I wouldn’t be surprised if she supported it.""",Bernie Sanders,0,2016-02-07
"""There really isn’t any kind of foreign policy network that is supporting and advising Sen. Sanders.""",Hillary Clinton,1,2016-02-07
"""Owen in MA vs. Owen in RI … Advantage:Rhode Island.""",Gina Raimondo,1,2016-02-07
"""Right now we’re the highest taxed country in the world.""",Donald Trump,0,2016-02-06
"""The American people will not support doing anything about people that are in this country illegally until the law is enforced first.""",Marco Rubio,0,2016-02-06
"Regarding the Iraq War, ""I was the one that said, ‘Don’t go, don’t do it, you’re going to destabilize the Middle East.’ """,Donald Trump,0,2016-02-06
"Says CNN reported Ben Carson was ""taking a break from campaigning"" and the Cruz campaign ""forwarded that news to our volunteers.""",Ted Cruz,0,2016-02-06
"""With 320,000 net Ohio manufacturing jobs lost, (Sen. Rob) Portman calls NAFTA a ‘proven success’.""",Ted Strickland,0,2016-02-05
"""Gene Green is the NRA’s favorite Democrat in Congress. ... ""It’s no wonder the congressman has a lifetime A rating from the NRA.""",Adrian Garcia,0,2016-02-05
"Says Donald Trump's conversion to pro-life beliefs are akin to Justin Bieber's, who said in the past that abortion ""was no big deal to him.""",Sarah Palin,0,2016-02-05
"""Faced with $1 million in campaign debt,"" Scott Walker ""is unloading his campaign security costs onto the backs of Wisconsin taxpayers.""",Katrina Shankland,0,2016-02-05
"Says Bernie Sanders advocated putting ""Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel.""",Hillary Clinton,1,2016-02-05
"Says a Sanders campaign ad ""never said ... a newspaper endorsed us that did not.""",Bernie Sanders,0,2016-02-04
"Arizona is spending ""less on a per-capita basis than every single state in this country in higher education.""",Michael M.  Crow,1,2016-02-04
"China is ""practicing how to blow up our satellites.""",Marco Rubio,1,2016-02-04
Says he was endorsed by the Valley News newspaper.,Bernie Sanders,0,2016-02-04
"""We've cut taxes 50 times and look what has happened to our revenues. They've grown.""",Rick Scott,1,2016-02-04
"""90 percent of all pain medications are prescribed in the United States.""",Jeb Bush,1,2016-02-04
"""I am the only candidate that has endorsed Bernie Sanders for President. In PA, I've got Bernie's back.""",John Fetterman,1,2016-02-04
"""I’ll be running against a career politician.""",Ron Johnson,1,2016-02-04
"""Nothing was done. I mean, $25 million was spent, but we don’t have that (gun ownership) database.""",Loretta Sanchez,0,2016-02-04
"""During eight years under Ronald Reagan, African-American median income rose by about $5,000.""",Ted Cruz,0,2016-02-03
"The 2013 immigration bill ""expanded President Obama’s ability to bring Syrian refugees to this country without mandating any meaningful background checks.""",Ted Cruz,0,2016-02-03
"Says Catherine Cortez Masto ""was happy to line her own pockets with taxpayer dollars when state employees were slammed with frozen salaries.""",National Republican Senatorial Committee,0,2016-02-03
"As part of legislative fights over abortion rights, ""Mike Coffman co-sponsored a bill to redefine rape.""",EMILY's List,1,2016-02-02
"The debt ""comes up all the time in town meetings ... but it's never asked in the debates. It's really weird. It hasn't been brought up.""",Jeb Bush,0,2016-02-02
"""This is the true picture of ‘Milwaukee's Renaissance’ after 12 years of Mayor Tom Barrett's leadership.""",Bob Donovan,0,2016-02-02
"""You've been tremendously deceived"" by people who say the Earth is not flat.",B.o.B.,0,2016-02-01
"""More businesses are closing than opening in Virginia today.""",Ed  Gillespie,0,2016-02-01
"""Between 1990 and 2013, the maternal mortality rate for women in the U.S. has increased by 136%.""",Sheila Jackson Lee,0,2016-02-01
"""A (state) trooper with 10 years on the force is getting $500 a year more than a trooper with 10 minutes on the force.""",Thomas Garrett Jr.,0,2016-02-01
"""Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.""",Ted Cruz,0,2016-01-31
"""We have more illegal immigrants here"" than we did five years ago.",Marco Rubio,0,2016-01-31
"""It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces.""",Jack Reed,1,2016-01-31
"""Texas is growing twice as fast as the rest of the country.""",Joe Straus,1,2016-01-30
"""Today Russia holds many of our most precious national security satellites at risk before they ever get off the ground.""",John McCain,1,2016-01-29
"""We now have more jobs in solar than we do in oil.""",Hillary Clinton,0,2016-01-29
"Obamacare ""is the biggest job-killer in this country -- millions of Americans have lost their jobs, have been forced into part-time work.""",Ted Cruz,0,2016-01-29
"""I have never supported cap and trade.""",Marco Rubio,1,2016-01-29
